source,page,text,entities/0/text,entities/0/label,entities/1/text,entities/1/label,entities/2/text,entities/2/label,entities/3/text,entities/3/label,entities/4/text,entities/4/label,entities/5/text,entities/5/label,entities/6/text,entities/6/label,entities/7/text,entities/7/label,entities/8/text,entities/8/label,entities/9/text,entities/9/label,entities/10/text,entities/10/label,entities/11/text,entities/11/label,entities/12/text,entities/12/label,entities/13/text,entities/13/label,entities/14/text,entities/14/label,entities/15/text,entities/15/label
fugues_apr-2011OCR.pdf,4,"1276, rue AMHERST Montréal  Québec  H2L 3K8 ","1276, rue AMHERST Montréal  Québec  H2L 3K8",FULL_ADDRESS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fugues_apr-2011OCR.pdf,8,"COORDONNÉES DU MAGAZINE Adresse 1276, rue Amherst, Mtl, Qc, H2L 3k8    Téléphone 514 848-1854,  1 888 848-1854   Fax  514 845-7645   ÉDITEURS  Maurice  mnadeau@fugues.com NADEAU    514 848-1854  # 229 Réal  real@fugues.com LEFEBVRE 514 848-1854  # 238 DIRECTEUR DE LA PUBLICATION  Yves  yveslafontaine@fugues.com  LAFONTAINE  514 848-1854  # 221 ",COORDONNÉES DU MAGAZINE,PLACE_NAME,"1276, rue Amherst, Mtl, Qc, H2L 3k8",FULL_ADDRESS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fugues_apr-2011OCR.pdf,20,"1324, rue Sainte-Catherine Est, Montréal   QC   H2L 2H5   T. 514-529-1168 ","1324, rue Sainte-Catherine Est, Montréal   QC   H2L 2H5",FULL_ADDRESS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fugues_apr-2011OCR.pdf,24,"AIGLE NOIR     1315, RUE SAINTE-CATHERINE EST.  514-529-0040 WWW.AIGLENOIR.CA  Bar cuir, latex, rubber. Événements spéciaux toute la semaine, dont les «soirées françaises» les mer- credis; les «vendredis rock»; le «Jeu des cases», lors des 5@7 les samedis; ainsi que la soirée «Cuir et fétiche», les samedis soirs. Bil- lard et loterie vidéo.  Leather bar where the men are kinky and friendly. Special events all week long. Pool table & video poker.  ","AIGLE NOIR     1315, RUE SAINTE-CATHERINE EST",FULL_ADDRESS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fugues_apr-2011OCR.pdf,24,"CABARET JP 1681, RUE SAINTE-CATHERINE EST. 514-544-9172 Ouvert du mercredi au dimanche soir, ce bar de danseurs nus s’adresse à une clientèle, tant masculine que féminine.  Open from Wednesday to Sunday nights, this nude dancers bar caters to a clientele of men and women. ","CABARET JP 1681, RUE SAINTE-CATHERINE EST",FULL_ADDRESS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fugues_apr-2011OCR.pdf,24,"CABARET MADO    1115, RUE SAINTE-CATHERINE EST.  514-525-7566.  MADO.QC.CA Spectacles de drag queens ou événements à chaque jour, dont les populaires karaoké. Les mardis, Mado lâche son fou.  On Tuesdays Mado is the MC of one of Montreal most delirious night. She deejays on weekends and goes wild on Tuesdays. Differ- ent shows every day. ","CABARET MADO    1115, RUE SAINTE-CATHERINE EST",FULL_ADDRESS,MADO.QC.CA,PLACE_NAME,Mado,PLACE_NAME,Mado,PLACE_NAME,Montreal,CITY,,,,,,,,,,,,,,,,,,,,,,
fugues_apr-2011OCR.pdf,24,"CAMPUS   1111, RUE SAINTE-CATHERINE EST.  514-526-3616.   CAMPUSMTL.COM   Ouvert tous les jours, de 15h à 3h. Des danseurs nus, pour la plupart assez musclés, exhibent leur anatomie sur une superbe scène en demi-lune dotée d’un mur en miroirs. Soirées des dames les di- manches.        Open daily from 3 p.m. to 3 a.m. Guys show their muscles and the rest on a half circle stage. Ladies Night on Sundays after 9 p.m. ","CAMPUS   1111, RUE SAINTE-CATHERINE EST",FULL_ADDRESS,CAMPUSMTL.COM,PLACE_NAME,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fugues_apr-2011OCR.pdf,24,"CIRCUS HD AFTERHOURS   915, RUE SAINTE-CATHERINE EST 514-844-0188.  CIRCUSAFTERHOURS.COM Immense after-hours située dans le Village, dotéw d’un excellent système de son. Clien tèle mixte. DJ renommés de passage régulièrement.  Huge after-hours in the Village. Mixed crowd. World reknown DJ are regularly there as guests. ","CIRCUS HD AFTERHOURS   915, RUE SAINTE-CATHERINE EST",FULL_ADDRESS,CIRCUSAFTERHOURS.COM,PLACE_NAME,le Village,ARRONDISSEMENT,Village,ARRONDISSEMENT,,,,,,,,,,,,,,,,,,,,,,,,
fugues_apr-2011OCR.pdf,24,"CITIBAR 1603, RUE ONTARIO EST.  514-525-4251 Bar relaxe et cosy ouvert sur la rue. Soirées karaoké tous les jours.  Neighbourhood bar with karakoke every night. Cosy and fun place to be. ","CITIBAR 1603, RUE ONTARIO EST.",FULL_ADDRESS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fugues_apr-2011OCR.pdf,24,"CLUB DATE 1218, RUE SAINTE-CATHERINE EST.  514-521-1242. Bar relaxe et cosy ouvert sur la rue. Soirées karaoké tous les jours.   Neighbourhood bar with karakoke ","CLUB DATE 1218, RUE SAINTE-CATHERINE EST.",FULL_ADDRESS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fugues_apr-2011OCR.pdf,24,"every night. Cosy and fun place to be.  CLUB UNITY 1171, RUE SAINTE-CATHERINE EST.  CLUBUNITYMONTREAL.COM Le Club Unity Montréal, offre sur ses 3 étages des espaces amé- nagés — salon V.I.P., lounge, le Bamboo Bar, le main room et la terrasse — et demeure toujours l’un des plus grands club gais de Montréal. La clientèle peut se tré- mousser sur la meilleure musique de ses DJ locaux ou internatio - naux, qu’ils soient hip hop, hou se ou pop. Les vendredis COLLEGE NIGHT (main room : hip hop et R&B; Bamboo bar: Pop/Top 40). Les samedis POPLIFE (main room : Pop; Bamboo bar : R&B et Hip Hop).   The new Unity Club still offers three different areas : the Main Room (the large dance floor), the Bamboo Bar and the redecorated Lounge. Of course, the roof terrace has been completely renovated and one can enjoy the view and relax. Hip hop, pop or house music will please the young clubbers’ crowd who’ll dance on some of the best DJ’s music wether local or international. Popu- lar evenings: Friday College Night , Saturday Poplife.   ","CLUB UNITY 1171, RUE SAINTE-CATHERINE EST.",FULL_ADDRESS,CLUBUNITYMONTREAL.COM,PLACE_NAME,Le Club Unity Montréal,PLACE_NAME,Montréal,CITY,Unity Club,PLACE_NAME,,,,,,,,,,,,,,,,,,,,,,
