source,page,text,entity_text,entity_label,entity_loc_score
Fugues_apr_2005_OCR.pdf,1,Le Village dit oui à la SDC ,Le Village,PLACE_NAME,0.0
Fugues_apr_2005_OCR.pdf,2,"BMW Z3 ,00 26 950 ","BMW Z3 ,00",PLACE_NAME,0.0
Fugues_apr_2005_OCR.pdf,2,"625 Dubois, St-Eustache ","625 Dubois, St-Eustache",FULL_ADDRESS,0.44999999999999996
Fugues_apr_2005_OCR.pdf,2,"2470, Curé-Labelle, Laval ","2470, Curé-Labelle, Laval",FULL_ADDRESS,0.85
Fugues_apr_2005_OCR.pdf,3,"6224, boul. Décarie, Montréal 514.807.3863 www.eurohousefurniture.com ","6224, boul. Décarie, Montréal",FULL_ADDRESS,0.65
Fugues_apr_2005_OCR.pdf,4,098 Motos ,098 Motos,PLACE_NAME,0.0
Fugues_apr_2005_OCR.pdf,4,042 Infos Santé / Sida 048 Infos d'ailleurs 056 Infos de Québec 060 Fugues y était à Québec 126+128 Fugues y était à Montréal et ailleurs ,042 Infos Santé,PLACE_NAME,0.15
Fugues_apr_2005_OCR.pdf,4,174 Mado ,174 Mado,FULL_ADDRESS,0.0
Fugues_apr_2005_OCR.pdf,5,"2275, Mont-Royal Est, Montréal (entre Iberville et de Lorimier) ","2275, Mont-Royal Est, Montréal",FULL_ADDRESS,0.65
Fugues_apr_2005_OCR.pdf,6,"LES ÉDITIONS NITRAM INC. 1212, rue Saint-Hubert, Montréal, Qc, H2L 3Y7 TÉLÉPHONE 514.848.1854 1.888.848.1854 FAX 514.845.7645 WEB www.fugues.com CO-ÉDITEURS Réal Lefebvre 514.848.1854 #238, fugues ","1212, rue Saint-Hubert, Montréal, Qc, H2L 3Y7",FULL_ADDRESS,0.65
Fugues_apr_2005_OCR.pdf,6,"patico.ca/ Richard Burnett, burnett@videotron.ca / Louis Costa, djlouko7@hotmail.com / Jean-Guy Côté, jguy.cote@globetrot- ter.net/ Robert Gareau, rogareau@sympatico.ca / Francis Lagacé, mfrancis@generation.net / Mado Lamotte, mado@arobas.net ",Mado Lamotte,PLACE_NAME,0.15
Fugues_apr_2005_OCR.pdf,6,Showcase MODÈLE Peter Paige GRAPHISME Éric Perrier. ,Showcase MODÈLE Peter Paige GRAPHISME Éric Perrier,PLACE_NAME,0.15
Fugues_apr_2005_OCR.pdf,7,TELLEMENT PLUS SYMРА ,TELLEMENT PLUS,PLACE_NAME,0.44999999999999996
