source,page,text,entity_text,entity_label
apr-2021_OCR.pdf,3,Gars à Proximité ,Gars à Proximité,PLACE_NAME
apr-2021_OCR.pdf,4,"GroUpE Hom 3091-2703 Qc Inc    1674 Cartier, Montréal H2K 4E2 ","1674 Cartier, Montréal H2K 4E2",FULL_ADDRESS
apr-2021_OCR.pdf,4,"aFFiLiaTionS  Fugues est membre de la Chambre de  commerce LGBT du Québec, de la SDC du  Village (Village Montréal), de l’Association québecoise des éditeurs de magazines (AQEM) et de l’International Gay & Lesbian Travel  Association (IGLTA). ",Village Montréal,PLACE_NAME
apr-2021_OCR.pdf,4,Couverture Modèle : ChristopherDIRADDO Photographe : Vincent FORTIER @vince_fortier Montage graphique : ÉricPERRIER ,Couverture Modèle,PLACE_NAME
apr-2021_OCR.pdf,4,"1674 Cartier, MontréalH2K 4E2 ","1674 Cartier, MontréalH2K 4E2",FULL_ADDRESS
apr-2021_OCR.pdf,4,RESPONSABLE DE LA FACTURATION RéalLEFEBVRE ,RESPONSABLE DE LA,PLACE_NAME
apr-2021_OCR.pdf,4,Jean-Charles MARIER ,Jean-Charles MARIER,PLACE_NAME
apr-2021_OCR.pdf,4,"Jean-Charles MARIER, Yves LAFONTAINE et ",Jean-Charles MARIER,PLACE_NAME
apr-2021_OCR.pdf,4,"Village (Village Montréal ), de l'Association ",Village (Village Montréal,FULL_ADDRESS
apr-2021_OCR.pdf,4,Bibliothèquenationale du Québec ,Bibliothèquenationale du Québec,PLACE_NAME
apr-2021_OCR.pdf,6,CHRISTOPHER DIRADDO 32 ,CHRISTOPHER DIRADDO 32,PLACE_NAME
apr-2021_OCR.pdf,6,10miles S SIX DEGRÉS70 ,10miles S SIX,PLACE_NAME
apr-2021_OCR.pdf,6,Jague's ,Jague's,PLACE_NAME
apr-2021_OCR.pdf,8,Enfont-ilstoujours autant ? Çadépendqui . Comprenez- ,Enfont-ilstoujours autant ? Çadépendqui,PLACE_NAME
apr-2021_OCR.pdf,8,MAGAZINES| SITE WEB| INFOLETTRES FUGUES.COM OY ,FUGUES.COM,PLACE_NAME
apr-2021_OCR.pdf,11,"<< Une expériencecomplexe, ","<< Une expériencecomplexe,",PLACE_NAME
apr-2021_OCR.pdf,11,"<< Une puissance brute, immémoriale . >> KölnerStadt-Anzeiger 7 spectacles prédévoilés ! fta.ca ",<< Une,PLACE_NAME
apr-2021_OCR.pdf,12,"ApeRITIVo VILLAge, L’e�pICeRIe gouRMAnde d’InspIRATIon ITALIenne «On s’est posé beaucoup de questions suite à la fermeture du bar Minéral, lors du 2e confinement en décembre dernier, explique Mathieu Ménard, copropriétaire de ce bar et maintenant de l’Aperitivo Village. «On se demandait ce qui marcherait, ce qu’il n’y avait pas dans le Village. Je suis un gros fan de bouffe italienne, donc je me déplaçais souvent dans la Petite-Italie et au marché Jean-Talon. Je me suis dit, pourquoi pas une épicerie de ce style ici, dans le Village. Et c’est comme ça qu’on a abouti à Aperitivo Village!» ",bar Minéral,PLACE_NAME
apr-2021_OCR.pdf,12,"ApeRITIVo VILLAge, L’e�pICeRIe gouRMAnde d’InspIRATIon ITALIenne «On s’est posé beaucoup de questions suite à la fermeture du bar Minéral, lors du 2e confinement en décembre dernier, explique Mathieu Ménard, copropriétaire de ce bar et maintenant de l’Aperitivo Village. «On se demandait ce qui marcherait, ce qu’il n’y avait pas dans le Village. Je suis un gros fan de bouffe italienne, donc je me déplaçais souvent dans la Petite-Italie et au marché Jean-Talon. Je me suis dit, pourquoi pas une épicerie de ce style ici, dans le Village. Et c’est comme ça qu’on a abouti à Aperitivo Village!» ",le Village,ARRONDISSEMENT
apr-2021_OCR.pdf,12,"ApeRITIVo VILLAge, L’e�pICeRIe gouRMAnde d’InspIRATIon ITALIenne «On s’est posé beaucoup de questions suite à la fermeture du bar Minéral, lors du 2e confinement en décembre dernier, explique Mathieu Ménard, copropriétaire de ce bar et maintenant de l’Aperitivo Village. «On se demandait ce qui marcherait, ce qu’il n’y avait pas dans le Village. Je suis un gros fan de bouffe italienne, donc je me déplaçais souvent dans la Petite-Italie et au marché Jean-Talon. Je me suis dit, pourquoi pas une épicerie de ce style ici, dans le Village. Et c’est comme ça qu’on a abouti à Aperitivo Village!» ",marché Jean-Talon,PLACE_NAME
apr-2021_OCR.pdf,12,"ApeRITIVo VILLAge, L’e�pICeRIe gouRMAnde d’InspIRATIon ITALIenne «On s’est posé beaucoup de questions suite à la fermeture du bar Minéral, lors du 2e confinement en décembre dernier, explique Mathieu Ménard, copropriétaire de ce bar et maintenant de l’Aperitivo Village. «On se demandait ce qui marcherait, ce qu’il n’y avait pas dans le Village. Je suis un gros fan de bouffe italienne, donc je me déplaçais souvent dans la Petite-Italie et au marché Jean-Talon. Je me suis dit, pourquoi pas une épicerie de ce style ici, dans le Village. Et c’est comme ça qu’on a abouti à Aperitivo Village!» ",le Village,ARRONDISSEMENT
apr-2021_OCR.pdf,12,"à trouver de bons produits», indiqueMathieu Ménard, également copropriétaire du bar Blind pig dans Hochelaga. Que retrouve-t-on précisément au Aperitivo Village? «Il y a un peu de tout : des pâtes maison que l’on ramène pour mettre dans de l’eau bouillante salée, des charcuteries, des fromages, des sauces, des pâtisseries italiennes comme des tartelettes  siciliennes ou du tiramisu, entre autres», précise Mathieu Ménard.«Et il y a des produits très abordables : par exemple, notre jambon, de très bonne qualité, est moins cher que chez IgA ou Métro, donc un étudiant avec un budget, va pouvoir y trouver son compte.  ",bar Blind,PLACE_NAME
apr-2021_OCR.pdf,12,"Aperitivo Village 1701, rue Atateken, Mtl.    www.facebook.com/aperitivovillage ",Aperitivo Village,PLACE_NAME
apr-2021_OCR.pdf,12,"Aperitivo Village 1701, rue Atateken, Mtl.    www.facebook.com/aperitivovillage ","1701, rue Atateken, Mtl.",FULL_ADDRESS
apr-2021_OCR.pdf,12,Chronique Place au village ,Chronique Place,PLACE_NAME
apr-2021_OCR.pdf,12,Chronique Place au village ,village,PLACE_NAME
apr-2021_OCR.pdf,12,"Au cours des dernières semaines, deux commerces de détail ont ouvert leurs portes dans le Village. Ils offrent des produits  alimentaires différents de ce que l’on retrouve dans les grandes bannières présentes dans le quartier. Mi-février, on assistait à l’ouverture  de Ton-quartier Ville-Marie, une mini épicerie et un café, propulsé par nul autre qu’Isabelle Corriveau et Marc-Antoine Coulombe du  Bistro Tendresse et du Bar Renard. Les deux ont investi le local à côté du Renard, pour y ouvrir une succursale d’une mini épicerie déjà présente  dans Rosemont.  Quelques semaines plus tard, c’était au tour d’Aperitivo Village, le plus récent projet de Mathieu Ménard et cie,  d’ouvrir ses portes pour nous faire découvrir, chaque semaine, des nouveaux produits d’ici et d’ailleurs d’inspiration italienne. ","Au cours des dernières semaines, deux commerces de détail",PLACE_NAME
apr-2021_OCR.pdf,12,"Au cours des dernières semaines, deux commerces de détail ont ouvert leurs portes dans le Village. Ils offrent des produits  alimentaires différents de ce que l’on retrouve dans les grandes bannières présentes dans le quartier. Mi-février, on assistait à l’ouverture  de Ton-quartier Ville-Marie, une mini épicerie et un café, propulsé par nul autre qu’Isabelle Corriveau et Marc-Antoine Coulombe du  Bistro Tendresse et du Bar Renard. Les deux ont investi le local à côté du Renard, pour y ouvrir une succursale d’une mini épicerie déjà présente  dans Rosemont.  Quelques semaines plus tard, c’était au tour d’Aperitivo Village, le plus récent projet de Mathieu Ménard et cie,  d’ouvrir ses portes pour nous faire découvrir, chaque semaine, des nouveaux produits d’ici et d’ailleurs d’inspiration italienne. ",le Village,ARRONDISSEMENT
apr-2021_OCR.pdf,12,Deux nouvelles destinations  dans le Village pour  satisfaire nos papilles ,le Village,ARRONDISSEMENT
apr-2021_OCR.pdf,12,THE ARTISAN'S WAY ,THE ARTISAN'S WAY,PLACE_NAME
apr-2021_OCR.pdf,12,"APERITIVO VILLAGE, ",APERITIVO VILLAGE,PLACE_NAME
apr-2021_OCR.pdf,12,"<<On s'est posé beaucoup de questions suite à la fermeture du bar Minéral, lors du 2e ",bar Minéral,PLACE_NAME
apr-2021_OCR.pdf,12,"maintenantdel'Aperitivo Village. « On se demandait ce qui marcherait, cequ'il n'yavait pas ",maintenantdel'Aperitivo Village,PLACE_NAME
apr-2021_OCR.pdf,12,"dans le Village. Jesuis un gros fan de bouffe italienne, donc je me déplaçais souvent dans ",le Village,ARRONDISSEMENT
apr-2021_OCR.pdf,12,"la Petite -Italie et au marché Jean-Talon. Je me suis dit, pourquoi pas une épiceriede cestyle Aperitivoouvrira prochainement une autre succursale dans le TechnopôleAngus ! Il s'agira ici, dans le Village. Et c'est comme çaqu'on a aboutiàAperitivoVillage!>> ",marché Jean-Talon,PLACE_NAME
apr-2021_OCR.pdf,12,"la Petite -Italie et au marché Jean-Talon. Je me suis dit, pourquoi pas une épiceriede cestyle Aperitivoouvrira prochainement une autre succursale dans le TechnopôleAngus ! Il s'agira ici, dans le Village. Et c'est comme çaqu'on a aboutiàAperitivoVillage!>> ",le Village,ARRONDISSEMENT
apr-2021_OCR.pdf,12,"1701 , rue Atateken, Mtl . ","1701 , rue Atateken, Mtl .",FULL_ADDRESS
apr-2021_OCR.pdf,13,pLACe Au VILLAge  esT Rendu possIBLe gRâCeà LA CoLLABoRATIon de LA sdC du VILLAge. ,pLACe Au,PLACE_NAME
